indice_tiempo,azucar,cerveza,vino,gaseosas,cigarrillos_1er_cuartil,cigarrillos_2do_cuartil,cigarrillos_3er_cuartil,cigarrillos_4to_cuartil,cigarrillos,productos_farma,naftas,nafta_comun,nafta_super,nafta_ultra,cemento,asfalto,automot_nac_automoviles,automot_nac_utilitarios,automot_nac_carga_pasaj,automot_nac_total,automot_nac_imp_total,automot_nac_imp_automoviles,automot_nac_imp_utilitarios,automot_nac_imp_carga_pasaj,maquinas_herramientas,energia_electrica,residuos,gasoil
1994-01-01,83.0,1133.0,1055.0,197684.0,,,,,160.4,31.96,246.108,132.119,113.989,,488.908,42.994,25632.0,3453.0,684.0,,,,,,141.4,4528.74,,704.066
1994-02-01,80.0,1043.0,1029.0,191844.0,,,,,156.7,30.558,236.827,126.752,110.075,,484.649,44.475,8033.0,1665.0,359.0,,,,,,91.6,4083.9,,667.43
1994-03-01,87.0,1127.0,1214.0,228194.0,,,,,184.4,40.369,267.351,146.306,121.045,,521.257,41.049,26793.0,3416.0,1079.0,,,,,,186.7,4669.1,,826.85
1994-04-01,86.0,750.0,1193.0,132273.0,,,,,148.6,41.9,240.14800000000002,127.739,112.409,,473.13599999999997,41.219,27460.0,3820.0,1058.0,,,,,,124.0,4324.5,,733.391
1994-05-01,87.0,681.0,1235.0,143959.0,,,,,161.2,37.8,248.594,132.774,115.82,,495.92,34.287599609375,26206.0,3733.0,1035.0,,,,,,124.8,4635.2,,782.26
1994-06-01,88.0,553.0,1143.0,156678.0,,,,,158.3,36.5,249.079,133.415,115.664,,472.288,32.90639990234375,25435.0,3874.0,852.0,,,,,,137.9,4736.2,,775.111
1994-07-01,91.0,592.0,1167.0,146935.0,,,,,156.4,35.3,253.568,136.77,116.798,,490.38199999999995,35.9505,28453.0,3257.0,815.0,,,,,,119.8,5004.5,,797.595
1994-08-01,92.0,817.0,1339.0,153513.0,,,,,164.8,36.4,304.862,147.371,157.491,,544.726,45.25010034179687,31710.0,4404.0,868.0,,,,,,158.0,4806.4,,794.042
1994-09-01,90.0,988.0,1253.0,201958.0,,,,,170.6,37.8,314.337,157.716,156.621,,560.564,48.654099853515625,30382.0,4137.0,1083.0,,,,,,135.4,4574.5,,789.408
1994-10-01,92.0,1025.0,1053.0,179882.0,,,,,156.5,34.8,294.236,144.81,149.426,,533.405,46.917899658203126,24877.0,3515.0,717.0,,,,,,132.0,4575.4,,773.667
