indice_tiempo,vino
1994-01-01,1055
1994-02-01,1029
1994-03-01,1214
1994-04-01,1193
1994-05-01,1235
1994-06-01,1143
1994-07-01,1167
1994-08-01,1339
1994-09-01,1253
1994-10-01,1053
1994-11-01,1228
1994-12-01,1270
1995-01-01,946
1995-02-01,975
1995-03-01,1084
1995-04-01,954
1995-05-01,1140
1995-06-01,1136
1995-07-01,1103
1995-08-01,1294
1995-09-01,1169
1995-10-01,1172
1995-11-01,1260
1995-12-01,1258
1996-01-01,1026
1996-02-01,1054
1996-03-01,1085
1996-04-01,1155
1996-05-01,1171
1996-06-01,998
1996-07-01,1185
1996-08-01,1169
1996-09-01,1186
1996-10-01,1128
1996-11-01,1139
1996-12-01,1246
1997-01-01,1015
1997-02-01,945
1997-03-01,1053
1997-04-01,1168
1997-05-01,1099
1997-06-01,1042
1997-07-01,1198
1997-08-01,1094
1997-09-01,1167
1997-10-01,1228
1997-11-01,1083
1997-12-01,1343
1998-01-01,1012
1998-02-01,989
1998-03-01,1128
1998-04-01,988
1998-05-01,974
1998-06-01,1070
1998-07-01,1127
1998-08-01,1070
1998-09-01,1082
1998-10-01,1101
1998-11-01,1100
1998-12-01,1287
1999-01-01,913
1999-02-01,913
1999-03-01,1058
1999-04-01,975
1999-05-01,1034
1999-06-01,1104
1999-07-01,1070
1999-08-01,1099
1999-09-01,1092
1999-10-01,1120
1999-11-01,1150
1999-12-01,1281
2000-01-01,824
2000-02-01,940
2000-03-01,1074
2000-04-01,928
2000-05-01,1045
2000-06-01,1039
2000-07-01,1007
2000-08-01,1156
2000-09-01,1076
2000-10-01,1100
2000-11-01,1104
2000-12-01,1198
2001-01-01,930
2001-02-01,851
2001-03-01,1011
2001-04-01,945
2001-05-01,1048
2001-06-01,1053
2001-07-01,1042
2001-08-01,1091
2001-09-01,927
2001-10-01,1062
2001-11-01,1071
2001-12-01,1005
2002-01-01,854.989
2002-02-01,839.799
2002-03-01,886.971
2002-04-01,933.461
2002-05-01,1049.691
2002-06-01,946.331
2002-07-01,1092.987
2002-08-01,1089.893
2002-09-01,1063.114
2002-10-01,1067.878
